date	close
2014/12/19	138.00
2014/12/22	138.50
2014/12/23	137.50
2014/12/24	138.00
2014/12/25	137.50
2014/12/26	139.00
2014/12/27	138.50
2014/12/29	141.00
2014/12/30	140.00
2014/12/31	141.00
2015/01/05	139.50
2015/01/06	133.50
2015/01/07	134.00
2015/01/08	138.00
2015/01/09	134.00
2015/01/12	132.00
2015/01/13	132.50
2015/01/14	130.00
2015/01/15	131.50
2015/01/16	137.00
2015/01/19	139.00
2015/01/20	138.00
2015/01/21	141.00
2015/01/22	140.00
2015/01/23	145.00
2015/01/26	145.00
2015/01/27	147.00
2015/01/28	146.50
2015/01/29	143.50
2015/01/30	141.00
2015/02/02	142.50
2015/02/03	144.50
2015/02/04	146.00
2015/02/05	145.50
2015/02/06	143.00
2015/02/09	142.00
2015/02/10	142.50
2015/02/11	148.00
2015/02/12	148.50
2015/02/13	148.50
2015/02/24	151.00
2015/02/25	154.50
2015/02/26	150.50
2015/03/02	149.00
2015/03/03	150.50
2015/03/04	150.50
2015/03/05	150.00
2015/03/06	149.00
2015/03/09	145.50
2015/03/10	144.00
2015/03/11	146.00
2015/03/12	148.00
2015/03/13	149.00
2015/03/16	146.00
2015/03/17	149.00
2015/03/18	153.50
2015/03/19	154.00
2015/03/20	154.00
2015/03/23	153.50
2015/03/24	151.50
2015/03/25	151.00
2015/03/26	145.50
2015/03/27	142.50
2015/03/30	142.50
2015/03/31	145.50
2015/04/01	144.00
2015/04/02	147.00
2015/04/07	146.00
2015/04/08	143.00
2015/04/09	143.00
2015/04/10	147.00
2015/04/13	147.00
2015/04/14	144.00
2015/04/15	143.00
2015/04/16	147.00
2015/04/17	142.50
2015/04/20	143.00
2015/04/21	142.50
2015/04/22	143.50
2015/04/23	147.00
2015/04/24	152.50
2015/04/27	151.50
2015/04/28	151.50
2015/04/29	148.50
2015/04/30	147.00
2015/05/04	147.50
2015/05/05	147.00
2015/05/06	147.50
2015/05/07	146.50
2015/05/08	146.50
2015/05/11	148.50
2015/05/12	147.50
2015/05/13	148.00
2015/05/14	146.00
2015/05/15	146.50
2015/05/18	146.50
2015/05/19	146.50
2015/05/20	146.50
2015/05/21	145.50
2015/05/22	145.50
2015/05/25	147.50
2015/05/26	146.50
2015/05/27	145.00
2015/05/28	147.00
2015/05/29	146.00
2015/06/01	145.00
2015/06/02	144.00
2015/06/03	143.00
2015/06/04	141.00
2015/06/05	140.00
2015/06/08	138.50
2015/06/09	139.00
2015/06/10	139.50
2015/06/11	143.50
2015/06/12	144.50
2015/06/15	143.00
2015/06/16	142.00
2015/06/17	142.50
2015/06/18	142.00
2015/06/22	142.00
2015/06/23	144.50
2015/06/24	145.00
2015/06/25	146.50
2015/06/26	146.00
2015/06/29	138.50
2015/06/30	140.50
2015/07/01	141.00
2015/07/02	141.50
2015/07/03	142.50
2015/07/06	140.50
2015/07/07	140.50
2015/07/08	138.00
2015/07/09	136.50
2015/07/13	138.50
2015/07/14	138.50
2015/07/15	138.50
2015/07/16	136.50
2015/07/17	140.00
2015/07/20	139.00
2015/07/21	140.50
2015/07/22	139.00
2015/07/23	136.00
2015/07/24	137.00
2015/07/27	134.00
2015/07/28	134.00
2015/07/29	135.50
2015/07/30	138.50
2015/07/31	139.50
2015/08/03	134.50
2015/08/04	136.50
2015/08/05	134.00
2015/08/06	134.00
2015/08/07	133.00
2015/08/10	129.00
2015/08/11	130.50
2015/08/12	128.50
2015/08/13	128.00
2015/08/14	126.00
2015/08/17	124.00
2015/08/18	126.00
2015/08/19	125.00
2015/08/20	126.00
2015/08/21	121.00
2015/08/24	115.00
2015/08/25	123.50
2015/08/26	122.50
2015/08/27	124.00
2015/08/28	125.00
2015/08/31	129.00
2015/09/01	124.00
2015/09/02	125.50
2015/09/03	127.00
2015/09/04	125.00
2015/09/07	122.50
2015/09/08	123.00
2015/09/09	129.00
2015/09/10	125.00
2015/09/11	127.50
2015/09/14	127.50
2015/09/15	126.00
2015/09/16	129.50
2015/09/17	131.00
2015/09/18	131.50
2015/09/21	129.50
2015/09/22	129.00
2015/09/23	124.50
2015/09/24	127.00
2015/09/25	127.00
2015/09/30	130.00
2015/10/01	133.50
2015/10/02	132.00
2015/10/05	132.50
2015/10/06	133.00
2015/10/07	135.00
2015/10/08	136.00
2015/10/12	138.50
2015/10/13	137.50
2015/10/14	136.50
2015/10/15	140.00
2015/10/16	137.50
2015/10/19	138.00
2015/10/20	139.00
2015/10/21	138.50
2015/10/22	137.50
2015/10/23	140.00
2015/10/26	140.00
2015/10/27	139.00
2015/10/28	138.00
2015/10/29	136.50
2015/10/30	136.50
2015/11/02	137.50
2015/11/03	139.50
2015/11/04	144.50
2015/11/05	142.50
2015/11/06	140.00
2015/11/09	142.00
2015/11/10	139.50
2015/11/11	137.50
2015/11/12	138.50
2015/11/13	136.00
2015/11/16	135.00
2015/11/17	138.50
2015/11/18	137.00
2015/11/19	140.50
2015/11/20	141.00
2015/11/23	141.00
2015/11/24	139.50
2015/11/25	141.00
2015/11/26	142.50
2015/11/27	139.00
2015/11/30	139.00
2015/12/01	142.50
2015/12/02	142.50
2015/12/03	142.50
2015/12/04	140.50
2015/12/07	143.50
2015/12/08	142.50
2015/12/09	140.50
2015/12/10	141.00
2015/12/11	139.50
2015/12/14	139.00
2015/12/15	138.00
2015/12/16	143.50
2015/12/17	145.00
2015/12/18	142.00
2015/12/21	141.50
2015/12/22	142.00
2015/12/23	141.50
2015/12/24	142.00
2015/12/25	143.00
2015/12/28	143.50
2015/12/29	142.00
2015/12/30	142.50
2015/12/31	143.00
2016/01/04	139.50
2016/01/05	138.00
2016/01/06	135.50
2016/01/07	133.00
2016/01/08	134.00
2016/01/11	133.00
2016/01/12	133.00
2016/01/13	133.50
2016/01/14	131.50
2016/01/15	137.00
2016/01/18	137.00
2016/01/19	138.00
2016/01/20	134.50
2016/01/21	135.00
2016/01/22	138.50
2016/01/25	139.50
2016/01/26	137.50
2016/01/27	139.50
2016/01/28	140.00
2016/01/29	143.00
2016/01/30	142.00
2016/02/01	144.00
2016/02/02	142.50
2016/02/03	146.00
2016/02/15	145.00
2016/02/16	147.50
2016/02/17	148.00
2016/02/18	151.00
2016/02/19	151.00
2016/02/22	151.00
2016/02/23	149.50
2016/02/24	148.00
2016/02/25	150.50
2016/02/26	149.00
2016/03/01	152.00
2016/03/02	153.00
2016/03/03	154.00
2016/03/04	152.50
2016/03/07	152.00
2016/03/08	152.00
2016/03/09	153.00
2016/03/10	154.50
2016/03/11	155.00
2016/03/14	156.00
2016/03/15	154.50
2016/03/16	156.00
2016/03/17	158.50
2016/03/18	159.50
2016/03/21	160.00
2016/03/22	158.50
2016/03/23	159.50
2016/03/24	158.50
2016/03/25	158.00
2016/03/28	159.00
2016/03/29	159.00
2016/03/30	161.50
2016/03/31	162.00
2016/04/01	158.50
2016/04/06	153.50
2016/04/07	154.50
2016/04/08	157.50
2016/04/11	158.50
2016/04/12	158.50
2016/04/13	161.50
2016/04/14	161.50
2016/04/15	159.50
2016/04/18	158.00
2016/04/19	157.50
2016/04/20	154.00
2016/04/21	157.00
2016/04/22	156.50
2016/04/25	157.50
2016/04/26	158.00
2016/04/27	156.50
2016/04/28	153.00
2016/04/29	150.00
2016/05/03	147.50
2016/05/04	147.00
2016/05/05	147.50
2016/05/06	148.00
2016/05/09	147.50
2016/05/10	147.00
2016/05/11	147.00
2016/05/12	146.00
2016/05/13	144.00
2016/05/16	144.50
2016/05/17	147.00
2016/05/18	147.00
2016/05/19	147.00
2016/05/20	148.50
2016/05/23	154.00
2016/05/24	151.00
2016/05/25	154.50
2016/05/26	155.00
2016/05/27	156.50
2016/05/30	157.00
2016/05/31	156.50
2016/06/01	159.00
2016/06/02	159.00
2016/06/03	160.50
2016/06/04	160.00
2016/06/06	161.00
2016/06/07	162.00
2016/06/08	165.50
2016/06/13	162.00
2016/06/14	162.00
2016/06/15	163.00
2016/06/16	160.50
2016/06/17	163.00
2016/06/20	163.00
2016/06/21	165.50
2016/06/22	166.00
2016/06/23	164.00
2016/06/24	159.00
2016/06/27	155.50
2016/06/28	157.00
2016/06/29	159.00
2016/06/30	162.50
2016/07/01	166.00
2016/07/04	166.00
2016/07/05	164.00
2016/07/06	161.50
2016/07/07	164.50
2016/07/11	170.00
2016/07/12	171.00
2016/07/13	168.50
2016/07/14	169.00
2016/07/15	169.50
2016/07/18	169.50
2016/07/19	170.50
2016/07/20	170.00
2016/07/21	172.00
2016/07/22	171.00
2016/07/25	171.50
2016/07/26	173.00
2016/07/27	175.00
2016/07/28	176.50
2016/07/29	172.50
2016/08/01	177.00
2016/08/02	176.00
2016/08/03	172.50
2016/08/04	174.50
2016/08/05	177.00
2016/08/08	178.00
2016/08/09	178.50
2016/08/10	179.50
2016/08/11	176.50
2016/08/12	177.50
2016/08/15	179.00
2016/08/16	175.50
2016/08/17	177.00
2016/08/18	176.00
2016/08/19	174.50
2016/08/22	173.00
2016/08/23	174.00
2016/08/24	173.50
2016/08/25	177.00
2016/08/26	177.00
2016/08/29	176.50
2016/08/30	174.50
2016/08/31	176.00
2016/09/01	173.50
2016/09/02	174.50
2016/09/05	176.50
2016/09/06	179.00
2016/09/07	184.00
2016/09/08	183.00
2016/09/09	179.50
2016/09/10	178.00
2016/09/12	175.00
2016/09/13	175.00
2016/09/14	173.50
2016/09/19	182.50
2016/09/20	183.00
2016/09/21	184.00
2016/09/22	185.50
2016/09/23	187.50
2016/09/26	183.00
2016/09/29	185.50
2016/09/30	182.50
2016/10/03	186.00
2016/10/04	187.00
2016/10/05	186.00
2016/10/06	187.50
2016/10/07	188.00
2016/10/11	187.50
2016/10/12	189.50
2016/10/13	188.50
2016/10/14	188.00
2016/10/17	186.50
2016/10/18	187.00
2016/10/19	189.50
2016/10/20	190.50
2016/10/21	188.50
2016/10/24	191.00
2016/10/25	193.00
2016/10/26	191.50
2016/10/27	188.50
2016/10/28	189.50
2016/10/31	188.50
2016/11/01	189.50
2016/11/02	186.00
2016/11/03	184.50
2016/11/04	184.50
2016/11/07	189.00
2016/11/08	188.50
2016/11/09	182.00
2016/11/10	185.50
2016/11/11	181.50
2016/11/14	180.50
2016/11/15	180.00
2016/11/16	180.00
2016/11/17	181.50
2016/11/18	181.00
2016/11/21	181.00
